ZONA DEL PERU;LATITUD;LONGITUD;NÚMERO DE CLIENTES;FACTURACIÓN USD 2025
LIMA;-12.0464;-77.0428;624;1221943.857
PROVINCIA CENTRO CERRO DE PASCO;-10.6821;-76.2569;21;8216.86405
PROVINCIA CENTRO HUANCAVELICA;-12.7866;-74.972;7;3133.0019
PROVINCIA CENTRO HUANUCO;-9.9306;-75.9955;31;27098.73969
PROVINCIA CENTRO JUNIN;-11.1581;-75.993;71;50035.16139
PROVINCIA CENTRO SATIPO;-11.2521;-74.637;1;0
PROVINCIA NORTE AMAZONAS;-5.125;-78.05;15;2152.5456
PROVINCIA NORTE ANCASH;-9.5297;-77.5287;28;28817.67587
PROVINCIA NORTE CAJAMARCA;-7.1631;-78.5003;35;12370.4841
PROVINCIA NORTE LA LIBERTAD;-8.1091;-78.987;67;113074.2594
PROVINCIA NORTE LAMBAYEQUE;-6.7011;-79.9061;34;38416.99728
PROVINCIA NORTE PIURA;-5.1945;-80.6328;78;111753.0495
PROVINCIA NORTE SAN MARTIN;-6.442;-76.7732;66;74026.58651
PROVINCIA NORTE TUMBES;-3.57;-80.4582;5;5424.64382
PROVINCIA ORIENTE LORETO;-4.115;-73.507;17;21190.49289
PROVINCIA ORIENTE UCAYALI;-9.0266;-75.236;25;16061.09845
PROVINCIA SUR APURIMAC;-14.0383;-73.0764;17;9883.87611
PROVINCIA SUR AREQUIPA;-16.3989;-71.537;78;62339.82042
PROVINCIA SUR AYACUCHO;-13.1631;-74.2236;24;26276.96617
PROVINCIA SUR CUSCO;-13.5226;-71.9673;58;88569.04785
PROVINCIA SUR ICA;-14.0678;-75.7286;33;19348.76102
PROVINCIA SUR MADRE DE DIOS;-12.5926;-69.1897;1;0
PROVINCIA SUR MOQUEGUA;-17.1937;-70.934;4;17368.41727
PROVINCIA SUR PUNO;-15.8402;-70.0219;35;5060.76021
PROVINCIA SUR TACNA;-18.0066;-70.2463;8;6976.37802
PROVINCIA SUR TAMBOPATA;-12.6597;-69.1891;1;0
